pais,poblacion,superficie,continente
Mauritania,4649658,1030700,África
México,128932753,1964375,América
Micronesia,548914,702,Oceania
Moldavia,2657637,33851,Europa
Mónaco,39242,2,Europa
Mongolia,3278290,1564110,Asia
Montenegro,628066,13812,Europa
Mozambique,31255435,801590,África
Namibia,2540905,825615,África
Nauru,10834,21,Oceania
Nepal,29136808,147181,Asia
Níger,24206644,1267000,África
Nigeria,206139589,923768,África
Noruega,5421241,385207,Europa
Nueva Zelanda,4822233,268838,Oceania
Omán,5106626,309500,Asia
Países Bajos,17134872,41543,Europa
Pakistán,220892340,881912,Asia
Palaos,18094,459,Oceania
Panamá,4314767,75417,América
Papúa Nueva Guinea,8947024,462840,Oceania
Paraguay,7132538,406752,América
Perú,32971846,1285216,América
Polonia,38386000,312679,Europa
Portugal,10196709,92391,Europa
Reino Unido,67886011,243610,Europa
República Centroafricana,4829767,622984,África
República Checa,10708981,78865,Europa
República del Congo,5518087,342000,África
República Democrática del Congo,89561404,2344858,África
República Dominicana,10847910,48671,América
Ruanda,12952218,26338,África
Rumanía,19237691,238397,Europa
Rusia,145934462,17098242,Europa
Samoa,198909,2842,Oceania
San Cristóbal y Nieves,53192,261,América
San Marino,33931,61,Europa
San Vicente y las Granadinas,110947,389,América
Santa Lucía,183627,616,América
Santo Tomé y Príncipe,219159,964,África
Senegal,16743927,196722,África
Serbia,8737371,88361,Europa
Seychelles,98347,455,África
Sierra Leona,7976983,71740,África
Singapur,5850342,719,Asia
Siria,17500658,185180,Asia
Somalia,15893222,637657,África
Sri Lanka,21413249,65610,Asia
Sudáfrica,59308690,1221037,África
Sudán,43849260,1886068,África
Sudán del Sur,11193725,619745,África
Suecia,10099265,450295,Europa
Suiza,8654622,41284,Europa
Surinam,586632,163820,América
Tailandia,69799978,513120,Asia
Tanzania,59734218,945087,África
Timor-Leste,1318445,14874,Asia
Togo,8278724,56785,África
Tonga,105695,747,Oceania
Trinidad y Tobago,1399488,5130,América
Túnez,11818619,163610,África
Turkmenistán,6031187,488100,Asia
Turquía,84339067,783562,Asia
Tuvalu,11792,26,Oceania
Ucrania,44134693,603628,Europa
Uganda,45741007,241550,África
Uruguay,3473727,176215,América
Uzbekistán,33469203,447400,Asia
Vanuatu,307145,12189,Oceania
Venezuela,28435943,912050,América
Vietnam,97338583,331212,Asia
Yemen,29825964,527968,Asia
Zambia,18383955,743398,África
Zimbabue,14862924,390757,África
